dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,1.486581,3.437684,0.066475,0.265902,0.531804,1.063607,0.002604
0.500000,1.745533,3.440599,0.325443,0.517935,0.504067,-0.055474,0.022418
0.500000,2.244393,3.471057,0.825232,0.999578,0.963286,0.918439,0.113462
0.500000,2.847787,3.618837,1.446460,1.242456,0.485755,-0.955062,0.421094
0.500000,3.259398,3.963767,1.983489,1.074059,-0.336794,-1.645099,1.003068
0.500000,3.421640,4.387925,2.437617,0.908254,-0.331609,0.010370,1.367398
0.500000,3.459984,4.674561,2.726806,0.578379,-0.659751,-0.656284,1.499462
0.500000,3.465527,4.780202,2.832592,0.211573,-0.733612,-0.147722,1.536482
0.500000,3.466024,4.795839,2.848238,0.031290,-0.360565,0.746094,1.541565
0.500000,3.466024,4.795839,2.848238,0.000000,-0.062581,0.595969,1.541565
