dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,1.487492,3.087935,0.066475,0.265902,0.531804,1.063607,0.002604
0.500000,1.753373,3.090937,0.332377,0.797705,1.063607,1.063607,0.022418
0.500000,2.283991,3.123556,0.864181,1.329509,1.063607,0.000000,0.113462
0.500000,2.990751,3.299640,1.595411,1.595411,0.531804,-1.063607,0.421094
0.500000,3.554281,3.775701,2.344062,1.399196,-0.392430,-1.848467,1.003068
0.500000,3.764180,4.317275,2.928131,0.937079,-0.924233,-1.063607,1.367398
0.500000,3.808845,4.649633,3.263720,0.405276,-1.063607,-0.278747,1.499462
0.500000,3.815071,4.768203,3.382460,0.069687,-0.671177,0.784860,1.536482
0.500000,3.815625,4.785617,3.399882,0.000000,-0.139374,1.063607,1.541565
0.500000,3.815625,4.785617,3.399882,0.000000,0.000000,0.278747,1.541565
