dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,1.488403,2.738186,0.066475,0.265902,0.531804,1.063607,0.002604
0.500000,1.761212,2.741275,0.339303,0.545655,0.559506,0.055404,0.022418
0.500000,2.323589,2.776055,0.902754,1.126903,1.162497,1.205982,0.113462
0.500000,3.133714,2.980444,1.738264,1.671020,1.088235,-0.148524,0.421094
0.500000,3.849164,3.587634,2.676640,1.876751,0.411461,-1.353547,1.003068
0.500000,4.106720,4.246626,3.384175,1.415070,-0.923361,-2.669643,1.367398
0.500000,4.157705,4.624705,3.765676,0.763002,-1.304137,-0.761554,1.499462
0.500000,4.164615,4.756204,3.897356,0.263361,-0.999281,0.609713,1.536482
0.500000,4.165225,4.775395,3.916557,0.038401,-0.449921,1.098720,1.541565
0.500000,4.165225,4.775395,3.916557,0.000000,-0.076802,0.746239,1.541565
