dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,0.070789,2.067006,0.074787,0.299148,0.598296,1.196593,6.283179
0.500000,0.369947,2.067000,0.373944,0.598314,0.598332,0.000071,6.283153
0.500000,0.968256,2.066968,0.972254,1.196620,1.196611,1.196557,6.283115
0.500000,1.790923,2.066898,1.794920,1.645332,0.897426,-0.598370,6.283090
0.500000,2.648096,2.066818,2.652093,1.714346,0.138027,-1.518797,6.283099
0.500000,3.349936,2.066768,3.353933,1.403680,-0.621332,-1.518717,6.283133
0.500000,3.787146,2.066752,3.791144,0.874421,-1.058518,-0.874373,6.283166
0.500000,3.965483,2.066750,3.969480,0.356673,-1.035495,0.046047,6.283182
0.500000,4.000000,2.066750,4.003998,0.069035,-0.575278,0.920434,0.000000
0.500000,4.000000,2.066750,4.003998,0.000000,-0.138069,0.874417,0.000000
