dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,0.070787,1.717256,0.074787,0.299148,0.598296,1.196593,6.283179
0.500000,0.369935,1.717250,0.373935,0.897445,1.196593,1.196593,6.283153
0.500000,0.968232,1.717218,0.972232,1.495741,1.196593,0.000000,6.283115
0.500000,1.790889,1.717148,1.794889,1.794889,0.598296,-1.196593,6.283090
0.500000,2.648066,1.717068,2.652066,1.633815,-0.322149,-1.840891,6.283099
0.500000,3.349917,1.717018,3.353917,1.173592,-0.920446,-1.196593,6.283133
0.500000,3.787139,1.717002,3.791139,0.575296,-1.196593,-0.552295,6.283166
0.500000,3.965482,1.717000,3.969482,0.138074,-0.874444,0.644298,6.283182
0.500000,4.000000,1.717000,4.004000,0.000000,-0.276147,1.196593,0.000000
0.500000,4.000000,1.717000,4.004000,0.000000,0.000000,0.552295,0.000000
