dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,0.091247,1.367505,0.095250,0.381000,0.762000,1.524000,6.283177
0.500000,0.472236,1.367496,0.476239,0.761978,0.761956,-0.000088,6.283145
0.500000,1.138973,1.367455,1.142976,1.333473,1.142990,0.762069,6.283107
0.500000,1.900967,1.367387,1.904970,1.523988,0.381029,-1.523923,6.283090
0.500000,2.662970,1.367317,2.666973,1.524007,0.000039,-0.761980,6.283100
0.500000,3.353982,1.367268,3.357985,1.382023,-0.283968,-0.568013,6.283133
0.500000,3.807744,1.367252,3.811747,0.907524,-0.948999,-1.330062,6.283168
0.500000,3.975749,1.367250,3.979752,0.336011,-1.143027,-0.388056,6.283183
0.500000,4.000000,1.367250,4.004003,0.048502,-0.575018,1.136017,0.000000
0.500000,4.000000,1.367250,4.004003,0.000000,-0.097003,0.956030,0.000000
