dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,0.105827,2.654406,0.095250,0.381000,0.762000,1.524000,0.038396
0.500000,0.477286,2.663443,0.466819,0.743137,0.724275,-0.075450,0.011462
0.500000,1.133510,2.659906,1.123053,1.312468,1.138661,0.828773,6.264651
0.500000,1.892671,2.641188,1.882445,1.518784,0.412631,-1.452060,6.257200
0.500000,2.661938,2.627520,2.651832,1.538775,0.039983,-0.745297,6.278365
0.500000,3.330376,2.553751,3.324329,1.344993,-0.387564,-0.855093,6.032069
0.500000,3.887923,2.319535,3.929073,1.209489,-0.271007,0.233114,5.599020
0.500000,4.424661,1.784581,4.686875,1.515603,0.612227,1.766468,5.588878
0.500000,5.247789,1.417958,5.587959,1.802169,0.573132,-0.078189,6.013366
0.500000,6.257349,1.509192,6.601633,2.027348,0.450357,-0.245550,0.539209
0.500000,6.833986,2.163486,7.473763,1.744260,-0.566175,-2.033065,1.170006
0.500000,6.945805,2.647213,7.970246,0.992966,-1.502589,-1.872827,1.504011
0.500000,6.949750,2.766655,8.089753,0.239014,-1.507903,-0.010629,1.570579
0.500000,6.949750,2.767063,8.090161,0.000817,-0.476395,2.063017,1.570796
0.500000,6.949750,2.767063,8.090161,0.000000,-0.001634,0.949522,1.570796
