dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,1.483006,4.848530,0.095250,0.381000,0.762000,1.524000,6.254157
0.500000,1.851707,4.829456,0.464444,0.738388,0.714776,-0.094448,6.220454
0.500000,2.554170,4.810115,1.167173,1.405458,1.334139,1.238726,0.041111
0.500000,3.419939,4.993517,2.052155,1.769964,0.729014,-1.210251,0.407347
0.500000,4.137188,5.542276,2.955251,1.806192,0.072455,-1.313117,0.839813
0.500000,4.595466,5.954469,3.571629,1.232756,-1.146873,-2.438656,0.435773
0.500000,5.195895,6.109475,4.191743,1.240228,0.014944,2.323633,0.043115
0.500000,5.776247,5.963551,4.790160,1.196833,-0.086789,-0.203466,5.916443
0.500000,6.189427,5.766899,5.247751,0.915183,-0.563300,-0.953023,5.433352
0.500000,6.231747,5.650482,5.371621,0.247740,-1.334886,-1.543172,4.809664
0.500000,6.233978,5.601610,5.420544,0.097845,-0.299789,2.070195,4.712389
0.500000,6.233978,5.601610,5.420544,0.000000,-0.195691,0.208196,4.712389
