dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000020,3.402606,0.000130,0.012989,0.649442,32.472097,6.283128
0.020000,1.000015,3.402606,0.000135,0.000260,-0.636425,-64.293351,6.283143
0.020000,1.000005,3.402606,0.000145,0.000516,0.012795,32.460990,6.283172
0.020000,1.001069,3.402606,0.001209,0.053193,2.633863,131.053419,0.000030
0.020000,1.003127,3.402606,0.003268,0.102914,2.486016,-7.392368,0.000086
0.020000,1.005700,3.402606,0.005841,0.128676,1.288090,-59.896297,0.000154
0.020000,1.008790,3.402607,0.008930,0.154460,1.289204,0.055698,0.000233
0.020000,1.012395,3.402608,0.012536,0.180270,1.290525,0.066041,0.000322
0.020000,1.016517,3.402609,0.016658,0.206112,1.292088,0.078191,0.000418
0.020000,1.021157,3.402611,0.021298,0.231989,1.293865,0.088852,0.000519
0.020000,1.026315,3.402614,0.026456,0.257906,1.295855,0.099490,0.000625
0.020000,1.031992,3.402618,0.032133,0.283868,1.298080,0.111227,0.000731
0.020000,1.038190,3.402623,0.038331,0.309878,1.300513,0.121636,0.000835
0.020000,1.044909,3.402629,0.045050,0.335942,1.303179,0.133321,0.000934
0.020000,1.052150,3.402636,0.052291,0.362063,1.306055,0.143781,0.001026
0.020000,1.059915,3.402644,0.060056,0.388246,1.309160,0.155258,0.001106
0.020000,1.068205,3.402654,0.068346,0.414496,1.312481,0.166054,0.001170
0.020000,1.077021,3.402664,0.077162,0.440816,1.316027,0.177316,0.001215
0.020000,1.086366,3.402676,0.086506,0.467212,1.319792,0.188262,0.001237
0.020000,1.096239,3.402688,0.096380,0.493688,1.323781,0.199413,0.001231
0.020000,1.106644,3.402701,0.106785,0.520248,1.327993,0.210617,0.001192
0.020000,1.117582,3.402713,0.117723,0.546896,1.332429,0.221784,0.001115
0.020000,1.129055,3.402725,0.129196,0.573638,1.337089,0.233031,0.000995
0.020000,1.141064,3.402736,0.141205,0.600477,1.341977,0.244362,0.000827
0.020000,1.153613,3.402745,0.153754,0.627419,1.347092,0.255800,0.000605
0.020000,1.166702,3.402752,0.166843,0.654468,1.352443,0.267530,0.000322
0.020000,1.180335,3.402754,0.180475,0.681629,1.358023,0.278995,6.283158
0.020000,1.194513,3.402750,0.194654,0.708905,1.363839,0.290779,6.282736
0.020000,1.209239,3.402740,0.209380,0.736303,1.369887,0.302424,6.282234
0.020000,1.224515,3.402721,0.224656,0.763827,1.376188,0.315036,6.281645
0.020000,1.240345,3.402691,0.240486,0.791482,1.382736,0.327402,6.280961
0.020000,1.256730,3.402649,0.256871,0.819272,1.389514,0.338889,6.280176
0.020000,1.273674,3.402590,0.273815,0.847204,1.396602,0.354402,6.279281
0.020000,1.291180,3.402513,0.291321,0.875282,1.403882,0.364020,6.278267
0.020000,1.309250,3.402414,0.309391,0.903511,1.411471,0.379441,6.277127
0.020000,1.327887,3.402289,0.328029,0.931897,1.419317,0.392286,6.275852
0.020000,1.347096,3.402135,0.347238,0.960447,1.427497,0.409013,6.274431
0.020000,1.366878,3.401947,0.367021,0.989165,1.435885,0.419389,6.272857
0.020000,1.387238,3.401719,0.387383,1.018057,1.444612,0.436360,6.271119
0.020000,1.408179,3.401446,0.408325,1.047130,1.453641,0.451447,6.269207
0.020000,1.429704,3.401123,0.429853,1.076391,1.463028,0.469343,6.267110
0.020000,1.451818,3.400742,0.451970,1.105844,1.472659,0.481577,6.264817
0.020000,1.474523,3.400297,0.474680,1.135497,1.482666,0.500361,6.262318
0.020000,1.497825,3.399780,0.497987,1.165357,1.493000,0.516674,6.259601
0.020000,1.521726,3.399181,0.521896,1.195433,1.503790,0.539483,6.256653
0.020000,1.546231,3.398492,0.546410,1.225728,1.514769,0.548963,6.253462
0.020000,1.571343,3.397702,0.571535,1.256253,1.526235,0.573310,6.250015
0.020000,1.597068,3.396801,0.597275,1.287014,1.538032,0.589852,6.246300
0.020000,1.623408,3.395777,0.623636,1.318020,1.550330,0.614904,6.242301
0.020000,1.650369,3.394616,0.650621,1.349277,1.562844,0.625674,6.238006
0.020000,1.677954,3.393306,0.678237,1.380795,1.575891,0.652367,6.233399
0.020000,1.706167,3.391831,0.706489,1.412580,1.589271,0.668980,6.228465
0.020000,1.735012,3.390175,0.735382,1.444643,1.603126,0.692778,6.223189
0.020000,1.764494,3.388321,0.764922,1.476988,1.617274,0.707393,6.217555
0.020000,1.794615,3.386251,0.795114,1.509626,1.631906,0.731593,6.211547
0.020000,1.825380,3.383945,0.825965,1.542563,1.646832,0.746293,6.205146
0.020000,1.856792,3.381382,0.857481,1.575806,1.662159,0.766362,6.198338
0.020000,1.888853,3.378539,0.889669,1.609361,1.677763,0.780219,6.191103
