dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,0.091253,2.067005,0.095250,0.381000,0.762000,1.524000,6.283177
0.500000,0.472264,2.066996,0.476261,0.762022,0.762044,0.000088,6.283145
0.500000,1.139027,2.066955,1.143024,1.333527,1.143010,0.761931,6.283107
0.500000,1.901033,2.066887,1.905030,1.524012,0.380971,-1.524077,6.283090
0.500000,2.663030,2.066817,2.667027,1.523993,-0.000039,-0.762020,6.283100
0.500000,3.354018,2.066768,3.358015,1.381977,-0.284032,-0.567987,6.283133
0.500000,3.807756,2.066752,3.811753,0.907476,-0.949001,-1.329938,6.283168
0.500000,3.975751,2.066750,3.979748,0.335989,-1.142973,-0.387944,6.283183
0.500000,4.000000,2.066750,4.003997,0.048498,-0.574982,1.135983,0.000000
0.500000,4.000000,2.066750,4.003997,0.000000,-0.096997,0.955970,0.000000
