dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,0.091250,1.717255,0.095250,0.381000,0.762000,1.524000,6.283177
0.500000,0.472250,1.717246,0.476250,1.143000,1.524000,1.524000,6.283145
0.500000,1.139000,1.717205,1.143000,1.524000,0.762000,-1.524000,6.283107
0.500000,1.901000,1.717137,1.905000,1.524000,0.000000,-1.524000,6.283090
0.500000,2.663000,1.717067,2.667000,1.524000,0.000000,0.000000,6.283100
0.500000,3.354000,1.717018,3.358000,1.240000,-0.568000,-1.136000,6.283133
0.500000,3.807750,1.717002,3.811750,0.575000,-1.330000,-1.524000,6.283168
0.500000,3.975750,1.717000,3.979750,0.097000,-0.956000,0.748000,6.283183
0.500000,4.000000,1.717000,4.004000,0.000000,-0.194000,1.524000,0.000000
0.500000,4.000000,1.717000,4.004000,0.000000,0.000000,0.388000,0.000000
