dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,0.078976,3.353390,0.095250,0.381000,0.762000,1.524000,0.038396
0.500000,0.469268,3.362897,0.485658,0.780816,0.799633,0.075266,0.011462
0.500000,1.146474,3.359286,1.162874,1.354431,1.147229,0.695192,6.264651
0.500000,1.910846,3.340452,1.927478,1.529208,0.349553,-1.595352,6.257200
0.500000,2.665309,3.327012,2.682061,1.509166,-0.040082,-0.779271,6.278365
0.500000,3.504191,3.231311,3.526384,1.688646,0.358959,0.798083,6.032069
0.500000,4.330026,2.861610,4.431194,1.809621,0.241950,-0.234019,5.599020
0.500000,4.872238,2.322145,5.196058,1.529728,-0.559785,-1.603469,5.588878
0.500000,5.434246,2.092149,5.803307,1.214497,-0.630462,-0.141354,6.013366
0.500000,5.898186,2.109443,6.267569,0.928523,-0.571949,0.117026,0.539209
0.500000,6.189919,2.436393,6.705752,0.876367,-0.104313,0.935272,1.170006
0.500000,6.247865,2.693895,6.969692,0.527881,-0.696971,-1.185317,1.504011
0.500000,6.250250,2.766807,7.042644,0.145903,-0.763957,-0.133971,1.570579
0.500000,6.250250,2.767063,7.042900,0.000513,-0.290780,0.946352,1.570796
0.500000,6.250250,2.767063,7.042900,0.000000,-0.001025,0.579510,1.570796
