dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,0.092401,3.003898,0.095250,0.381000,0.762000,1.524000,0.038396
0.500000,0.473277,3.013170,0.476250,1.143000,1.524000,1.524000,0.011462
0.500000,1.139992,3.009596,1.143000,1.524000,0.762000,-1.524000,6.264651
0.500000,1.901759,2.990820,1.905000,1.524000,0.000000,-1.524000,6.257200
0.500000,2.663623,2.977266,2.667000,1.524000,0.000000,0.000000,6.278365
0.500000,3.417283,2.892531,3.429000,1.524000,0.000000,0.000000,6.032069
0.500000,4.108975,2.590573,4.191000,1.524000,0.000000,0.000000,5.599020
0.500000,4.648449,2.053363,4.953000,1.524000,0.000000,0.000000,5.588878
0.500000,5.341018,1.755054,5.715000,1.524000,0.000000,0.000000,6.013366
0.500000,6.077767,1.809318,6.477000,1.524000,0.000000,0.000000,0.539209
0.500000,6.511952,2.299940,7.144082,1.144329,-0.759341,-1.518683,1.170006
0.500000,6.596835,2.670554,7.526079,0.383659,-1.521341,-1.524000,1.504011
0.500000,6.600000,2.766731,7.622326,0.001329,-0.764659,1.513365,1.570579
0.500000,6.600000,2.767063,7.622659,0.000000,-0.002659,1.524000,1.570796
0.500000,6.600000,2.767063,7.622659,0.000000,0.000000,0.005317,1.570796
