dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,1.493940,3.449750,0.095250,0.381000,0.762000,1.524000,0.000000
0.500000,1.874940,3.449750,0.476250,0.762000,0.762000,-0.000000,0.000000
0.500000,2.541690,3.449750,1.143000,1.333500,1.143000,0.762000,0.000000
0.500000,3.403645,3.326841,2.013674,1.741348,0.815697,-0.654606,5.953503
0.500000,4.172778,2.965305,2.863541,1.699734,-0.083230,-1.797853,5.693796
0.500000,4.770917,2.403968,3.683827,1.640572,-0.118323,-0.070186,5.522178
0.500000,5.297755,2.134472,4.275593,1.183531,-0.914082,-1.591519,5.980770
0.500000,5.826200,2.078366,4.807008,1.062830,-0.241402,1.345360,0.331139
0.500000,6.153552,2.356200,5.236369,0.858723,-0.408214,-0.333623,1.039866
0.500000,6.242762,2.635871,5.529924,0.587109,-0.543228,-0.270028,1.451230
0.500000,6.250157,2.751826,5.646115,0.232382,-0.709453,-0.332450,1.558571
0.500000,6.250250,2.767063,5.661352,0.030475,-0.403815,0.611276,1.570796
0.500000,6.250250,2.767063,5.661352,0.000000,-0.060950,0.685731,1.570796
