dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,1.493940,3.100000,0.095250,0.381000,0.762000,1.524000,0.000000
0.500000,1.874940,3.100000,0.476250,1.143000,1.524000,1.524000,0.000000
0.500000,2.541690,3.100000,1.143000,1.524000,0.762000,-1.524000,0.000000
0.500000,3.290416,2.995927,1.905000,1.524000,0.000000,-1.524000,5.953503
0.500000,3.978368,2.674565,2.667000,1.524000,0.000000,0.000000,5.693796
0.500000,4.529711,2.150700,3.429000,1.524000,0.000000,0.000000,5.522178
0.500000,5.193590,1.800594,4.191000,1.524000,0.000000,0.000000,5.980770
0.500000,5.939911,1.747617,4.953000,1.524000,0.000000,0.000000,0.331139
0.500000,6.455154,2.179109,5.639263,1.221053,-0.605895,-1.211789,1.039866
0.500000,6.590015,2.594152,6.078803,0.537105,-1.367895,-1.524000,1.451230
0.500000,6.599881,2.747551,6.232592,0.078053,-0.918105,0.899579,1.558571
0.500000,6.600000,2.767063,6.252105,0.000000,-0.156105,1.524000,1.570796
0.500000,6.600000,2.767063,6.252105,0.000000,0.000000,0.312211,1.570796
