dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,1.493940,2.750250,0.095250,0.381000,0.762000,1.524000,0.000000
0.500000,1.874940,2.750250,0.476250,0.762000,0.762000,-0.000000,0.000000
0.500000,2.541690,2.750250,1.143000,1.333500,1.143000,0.762000,0.000000
0.500000,3.177187,2.665012,1.784189,1.282377,-0.102246,-2.490492,5.953503
0.500000,3.783959,2.383824,2.452947,1.337517,0.110280,0.425052,5.693796
0.500000,4.288506,1.897431,3.153765,1.401636,0.128239,0.035918,5.522178
0.500000,5.089425,1.466716,4.063154,1.818777,0.834281,1.412084,5.980770
0.500000,6.053622,1.416868,5.028638,1.930969,0.224384,-1.219794,0.331139
0.500000,6.756756,2.002018,5.943405,1.829534,-0.202868,-0.854504,1.039866
0.500000,6.937268,2.552433,6.522665,1.158519,-1.342031,-2.278325,1.451230
0.500000,6.949605,2.743275,6.713905,0.382480,-1.552077,-0.420092,1.558571
0.500000,6.949750,2.767063,6.737694,0.047578,-0.669806,1.764543,1.570796
0.500000,6.949750,2.767063,6.737694,0.000000,-0.095155,1.149301,1.570796
