dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,1.503308,5.547735,0.095250,0.381000,0.762000,1.524000,6.254157
0.500000,1.895558,5.527580,0.488018,0.785535,0.809071,0.094141,6.220454
0.500000,2.525421,5.509024,1.118153,1.260271,0.949472,0.280803,0.041111
0.500000,3.142815,5.635780,1.748425,1.260544,0.000545,-1.897854,0.407347
0.500000,3.616398,6.009264,2.351559,1.206268,-0.108551,-0.218191,0.839813
0.500000,4.300199,6.588597,3.247779,1.792440,1.172344,2.561791,0.435773
0.500000,5.165745,6.808325,4.140780,1.786002,-0.012878,-2.370444,0.043115
0.500000,6.027071,6.616534,5.023200,1.764841,-0.042322,-0.058889,5.916443
0.500000,6.714871,6.228645,5.812838,1.579275,-0.371132,-0.657619,5.433352
0.500000,6.927940,5.718419,6.365765,1.105855,-0.946840,-1.151417,4.809664
0.500000,6.933478,5.601610,6.482705,0.233880,-1.743950,-1.594220,4.712389
0.500000,6.933478,5.601610,6.482705,0.000000,-0.467759,2.552382,4.712389
