dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,1.493157,5.198132,0.095250,0.381000,0.762000,1.524000,6.254157
0.500000,1.873633,5.178518,0.476250,1.143000,1.524000,1.524000,6.220454
0.500000,2.539795,5.159569,1.143000,1.524000,0.762000,-1.524000,0.041111
0.500000,3.281377,5.314649,1.905000,1.524000,0.000000,-1.524000,0.407347
0.500000,3.876793,5.775770,2.667000,1.524000,0.000000,0.000000,0.839813
0.500000,4.447833,6.271533,3.429000,1.524000,0.000000,0.000000,0.435773
0.500000,5.180820,6.458900,4.191000,1.524000,0.000000,0.000000,0.043115
0.500000,5.901659,6.290043,4.940714,1.474855,-0.098291,-0.196581,5.916443
0.500000,6.452149,5.997772,5.570605,1.044709,-0.860291,-1.524000,5.433352
0.500000,6.579844,5.684451,5.914746,0.331855,-1.425709,-1.130837,4.809664
0.500000,6.583728,5.601610,5.997709,0.000000,-0.663709,1.524000,4.712389
0.500000,6.583728,5.601610,5.997709,0.000000,0.000000,1.327419,4.712389
